link_producto,producto,asin,precio,precio_original,vendidos_mes_pasado,calificación,num_de_calificaciones,imagen,vendidos_numerico
https://www.amazon.com/-/es/thibaut-meurisse-ebook/dp/B09K44VZWY/ref=sr_1_1?dib=eyJ2IjoiMSJ9.OpSgE2U4JzUvKNu3AVWoL44qqrcRODJ6NRGRwBOgXp-Ibki-Sq9y-mASSoiVZzyEOLv4zqWygTOBFVjRblZ4PY4Ne7h0fi6HLYc11fXsTf-9vkuaeHNXMiewSKeuMcZ5z_m-XCWoj-3yiMNTW-lYFJbwuHe0XpKranb-iVrBhB9hb0rbOhxuTpyp1lQuF5pvT8Jk2fJTe2hCJMuOyP32ty6hLrU6R58njkxQKhZlrj2W4LTKZbSSdES41YvxpUPGs1EXAbRDoANcon9bAis0mFnzORW6VoHcPr_byvfHHaE.qLJQ3dlS2yHmUP0BTaYRiVL1AAT7bcsF41rs-9zWWw8&dib_tag=se&keywords=Tienda+Kindle&qid=1725889956&sr=8-1,Détox De Dopamina : Una guía breve para eliminar distracciones y entrenar tu mente para hacer lo difícil (Colección Productividad nº 1) (Spanish Edition),B09K44VZWY,0.0,Sin información,Otro formato:,4.5,911,https://m.media-amazon.com/images/I/71zAX-+t70L._AC_UL320_.jpg,
https://www.amazon.com/-/es/Blake-Pierce-ebook/dp/B093CKSC48/ref=sr_1_2?dib=eyJ2IjoiMSJ9.OpSgE2U4JzUvKNu3AVWoL44qqrcRODJ6NRGRwBOgXp-Ibki-Sq9y-mASSoiVZzyEOLv4zqWygTOBFVjRblZ4PY4Ne7h0fi6HLYc11fXsTf-9vkuaeHNXMiewSKeuMcZ5z_m-XCWoj-3yiMNTW-lYFJbwuHe0XpKranb-iVrBhB9hb0rbOhxuTpyp1lQuF5pvT8Jk2fJTe2hCJMuOyP32ty6hLrU6R58njkxQKhZlrj2W4LTKZbSSdES41YvxpUPGs1EXAbRDoANcon9bAis0mFnzORW6VoHcPr_byvfHHaE.qLJQ3dlS2yHmUP0BTaYRiVL1AAT7bcsF41rs-9zWWw8&dib_tag=se&keywords=Tienda+Kindle&qid=1725889956&sr=8-2,La chica sola (Un thriller de suspense FBI de Ella Dark – Libro 1) (Spanish Edition),B093CKSC48,0.0,Sin información,Precio lista ed. digital:,4.2,3515,https://m.media-amazon.com/images/I/81bL4J0aGaS._AC_UL320_.jpg,
https://www.amazon.com/-/es/Franz-Kafka-ebook/dp/B087F1QXL4/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OpSgE2U4JzUvKNu3AVWoL44qqrcRODJ6NRGRwBOgXp-Ibki-Sq9y-mASSoiVZzyEOLv4zqWygTOBFVjRblZ4PY4Ne7h0fi6HLYc11fXsTf-9vkuaeHNXMiewSKeuMcZ5z_m-XCWoj-3yiMNTW-lYFJbwuHe0XpKranb-iVrBhB9hb0rbOhxuTpyp1lQuF5pvT8Jk2fJTe2hCJMuOyP32ty6hLrU6R58njkxQKhZlrj2W4LTKZbSSdES41YvxpUPGs1EXAbRDoANcon9bAis0mFnzORW6VoHcPr_byvfHHaE.qLJQ3dlS2yHmUP0BTaYRiVL1AAT7bcsF41rs-9zWWw8&dib_tag=se&keywords=Tienda+Kindle&qid=1725889956&sr=8-3,Franz Kafka: Obras completas: nueva edición integral (biblioteca iberica nº 9) (Spanish Edition),B087F1QXL4,0.99,Sin información,Edición en Español,4.6,307,https://m.media-amazon.com/images/I/71z5gpkPETL._AC_UL320_.jpg,
https://www.amazon.com/-/es/Andrea-Rodr%C3%ADguez-ebook/dp/B091NDD34K/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OpSgE2U4JzUvKNu3AVWoL44qqrcRODJ6NRGRwBOgXp-Ibki-Sq9y-mASSoiVZzyEOLv4zqWygTOBFVjRblZ4PY4Ne7h0fi6HLYc11fXsTf-9vkuaeHNXMiewSKeuMcZ5z_m-XCWoj-3yiMNTW-lYFJbwuHe0XpKranb-iVrBhB9hb0rbOhxuTpyp1lQuF5pvT8Jk2fJTe2hCJMuOyP32ty6hLrU6R58njkxQKhZlrj2W4LTKZbSSdES41YvxpUPGs1EXAbRDoANcon9bAis0mFnzORW6VoHcPr_byvfHHaE.qLJQ3dlS2yHmUP0BTaYRiVL1AAT7bcsF41rs-9zWWw8&dib_tag=se&keywords=Tienda+Kindle&qid=1725889956&sr=8-4,9 HÁBITOS JAPONESES: Que cambiarán tu vida (Spanish Edition),B091NDD34K,0.0,Sin información,Edición en Español,4.6,5104,https://m.media-amazon.com/images/I/71Ju5B2ypLL._AC_UL320_.jpg,
https://www.amazon.com/-/es/C-Gockel-ebook/dp/B0CLKYT9FN/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OpSgE2U4JzUvKNu3AVWoL44qqrcRODJ6NRGRwBOgXp-Ibki-Sq9y-mASSoiVZzyEOLv4zqWygTOBFVjRblZ4PY4Ne7h0fi6HLYc11fXsTf-9vkuaeHNXMiewSKeuMcZ5z_m-XCWoj-3yiMNTW-lYFJbwuHe0XpKranb-iVrBhB9hb0rbOhxuTpyp1lQuF5pvT8Jk2fJTe2hCJMuOyP32ty6hLrU6R58njkxQKhZlrj2W4LTKZbSSdES41YvxpUPGs1EXAbRDoANcon9bAis0mFnzORW6VoHcPr_byvfHHaE.qLJQ3dlS2yHmUP0BTaYRiVL1AAT7bcsF41rs-9zWWw8&dib_tag=se&keywords=Tienda+Kindle&qid=1725889956&sr=8-6,First Bite: Ten Full-Length Urban Fantasy & Paranormal Romance Novels Featuring Vampires,B0CLKYT9FN,0.0,Sin información,Precio lista ed. digital:,4.3,192,https://m.media-amazon.com/images/I/81IRzIqSCSL._AC_UL320_.jpg,
https://www.amazon.com/-/es/Patricia-Morenz-ebook/dp/B07BPFVQXD/ref=sr_1_7?dib=eyJ2IjoiMSJ9.OpSgE2U4JzUvKNu3AVWoL44qqrcRODJ6NRGRwBOgXp-Ibki-Sq9y-mASSoiVZzyEOLv4zqWygTOBFVjRblZ4PY4Ne7h0fi6HLYc11fXsTf-9vkuaeHNXMiewSKeuMcZ5z_m-XCWoj-3yiMNTW-lYFJbwuHe0XpKranb-iVrBhB9hb0rbOhxuTpyp1lQuF5pvT8Jk2fJTe2hCJMuOyP32ty6hLrU6R58njkxQKhZlrj2W4LTKZbSSdES41YvxpUPGs1EXAbRDoANcon9bAis0mFnzORW6VoHcPr_byvfHHaE.qLJQ3dlS2yHmUP0BTaYRiVL1AAT7bcsF41rs-9zWWw8&dib_tag=se&keywords=Tienda+Kindle&qid=1725889956&sr=8-7,Para siempre es mucho tiempo (Spanish Edition),B07BPFVQXD,0.0,Sin información,Edición en Español,4.2,6326,https://m.media-amazon.com/images/I/81d+dM45LxL._AC_UL320_.jpg,
https://www.amazon.com/-/es/Yunnuen-Gonzalez-ebook/dp/B008NDWOMI/ref=sr_1_8?dib=eyJ2IjoiMSJ9.OpSgE2U4JzUvKNu3AVWoL44qqrcRODJ6NRGRwBOgXp-Ibki-Sq9y-mASSoiVZzyEOLv4zqWygTOBFVjRblZ4PY4Ne7h0fi6HLYc11fXsTf-9vkuaeHNXMiewSKeuMcZ5z_m-XCWoj-3yiMNTW-lYFJbwuHe0XpKranb-iVrBhB9hb0rbOhxuTpyp1lQuF5pvT8Jk2fJTe2hCJMuOyP32ty6hLrU6R58njkxQKhZlrj2W4LTKZbSSdES41YvxpUPGs1EXAbRDoANcon9bAis0mFnzORW6VoHcPr_byvfHHaE.qLJQ3dlS2yHmUP0BTaYRiVL1AAT7bcsF41rs-9zWWw8&dib_tag=se&keywords=Tienda+Kindle&qid=1725889956&sr=8-8,El Despertar (Trilogía El Despertar nº 1) (Spanish Edition),B008NDWOMI,0.0,Sin información,Precio lista ed. digital:,4.1,411,https://m.media-amazon.com/images/I/91x9jX8p1aL._AC_UL320_.jpg,
https://www.amazon.com/-/es/Morgan-Rice-ebook/dp/B08B9YDNMC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.OpSgE2U4JzUvKNu3AVWoL44qqrcRODJ6NRGRwBOgXp-Ibki-Sq9y-mASSoiVZzyEOLv4zqWygTOBFVjRblZ4PY4Ne7h0fi6HLYc11fXsTf-9vkuaeHNXMiewSKeuMcZ5z_m-XCWoj-3yiMNTW-lYFJbwuHe0XpKranb-iVrBhB9hb0rbOhxuTpyp1lQuF5pvT8Jk2fJTe2hCJMuOyP32ty6hLrU6R58njkxQKhZlrj2W4LTKZbSSdES41YvxpUPGs1EXAbRDoANcon9bAis0mFnzORW6VoHcPr_byvfHHaE.qLJQ3dlS2yHmUP0BTaYRiVL1AAT7bcsF41rs-9zWWw8&dib_tag=se&keywords=Tienda+Kindle&qid=1725889956&sr=8-9,El Reino de los Dragones (La Era de los Hechiceros—Libro Uno) (Spanish Edition),B08B9YDNMC,0.0,Sin información,Edición en Español,4.2,303,https://m.media-amazon.com/images/I/81KHptg6XeL._AC_UL320_.jpg,
https://www.amazon.com/-/es/Blake-Pierce-ebook/dp/B091MDBJ59/ref=sr_1_10?dib=eyJ2IjoiMSJ9.OpSgE2U4JzUvKNu3AVWoL44qqrcRODJ6NRGRwBOgXp-Ibki-Sq9y-mASSoiVZzyEOLv4zqWygTOBFVjRblZ4PY4Ne7h0fi6HLYc11fXsTf-9vkuaeHNXMiewSKeuMcZ5z_m-XCWoj-3yiMNTW-lYFJbwuHe0XpKranb-iVrBhB9hb0rbOhxuTpyp1lQuF5pvT8Jk2fJTe2hCJMuOyP32ty6hLrU6R58njkxQKhZlrj2W4LTKZbSSdES41YvxpUPGs1EXAbRDoANcon9bAis0mFnzORW6VoHcPr_byvfHHaE.qLJQ3dlS2yHmUP0BTaYRiVL1AAT7bcsF41rs-9zWWw8&dib_tag=se&keywords=Tienda+Kindle&qid=1725889956&sr=8-10,La Vida en sus Manos (Un misterio de Adele Sharp – Libro Uno) (Spanish Edition),B091MDBJ59,0.0,Sin información,Precio lista ed. digital:,4.1,1269,https://m.media-amazon.com/images/I/71T52P4Nz9L._AC_UL320_.jpg,
https://www.amazon.com/-/es/Miguel-Cervantes-Saavedra-ebook/dp/B07RJ1MHM3/ref=sr_1_11?dib=eyJ2IjoiMSJ9.OpSgE2U4JzUvKNu3AVWoL44qqrcRODJ6NRGRwBOgXp-Ibki-Sq9y-mASSoiVZzyEOLv4zqWygTOBFVjRblZ4PY4Ne7h0fi6HLYc11fXsTf-9vkuaeHNXMiewSKeuMcZ5z_m-XCWoj-3yiMNTW-lYFJbwuHe0XpKranb-iVrBhB9hb0rbOhxuTpyp1lQuF5pvT8Jk2fJTe2hCJMuOyP32ty6hLrU6R58njkxQKhZlrj2W4LTKZbSSdES41YvxpUPGs1EXAbRDoANcon9bAis0mFnzORW6VoHcPr_byvfHHaE.qLJQ3dlS2yHmUP0BTaYRiVL1AAT7bcsF41rs-9zWWw8&dib_tag=se&keywords=Tienda+Kindle&qid=1725889956&sr=8-11,Don Quijote de la Mancha (Spanish Edition),B07RJ1MHM3,0.0,Sin información,Edición en Español,4.7,4478,https://m.media-amazon.com/images/I/71eEy650b6L._AC_UL320_.jpg,
