link_producto,producto,asin,precio,precio_original,vendidos_mes_pasado,calificación,num_de_calificaciones,imagen,vendidos_numerico
https://www.amazon.com/-/es/Dr-Isaiah-Hankel/dp/1631958461/ref=sr_1_1?dib=eyJ2IjoiMSJ9.xj5pqqOfL7bi2QHbz-CbuLXJjbyJxL5SVSlnO1fe0CMU0hffiSvZGGK3WOFVNTgsWfyvCRQJdJtDGk07Sby-_mLbncI__HiFwregTF3LmVnObxwkHReCWREiCW3RAEABo06AlManHgMgaxxT82myOuRIh57K7dQH-YZoB3IBk9hFQQkR_ikOdKs2nn2YjakPbeMEFOy7MMFag5HoeH75N90TcdjFnCHy58jl2lZEHNQ.QvLoGwPm5c97RKNTA8JCUpcbQy3f30DdLAbOg-UxaUo&dib_tag=se&keywords=Industrial+y+cient%C3%ADfico&qid=1725878033&sr=8-1,The Power of a PhD: How Anyone Can Use Their PhD to Get Hired in Industry,1631958461,12.75,Sin información,|,4.4,109,https://m.media-amazon.com/images/I/71kq9V6OKWL._AC_UY218_.jpg,
https://www.amazon.com/-/es/William-Navidi-Prof/dp/1260547884/ref=sr_1_2?dib=eyJ2IjoiMSJ9.xj5pqqOfL7bi2QHbz-CbuLXJjbyJxL5SVSlnO1fe0CMU0hffiSvZGGK3WOFVNTgsWfyvCRQJdJtDGk07Sby-_mLbncI__HiFwregTF3LmVnObxwkHReCWREiCW3RAEABo06AlManHgMgaxxT82myOuRIh57K7dQH-YZoB3IBk9hFQQkR_ikOdKs2nn2YjakPbeMEFOy7MMFag5HoeH75N90TcdjFnCHy58jl2lZEHNQ.QvLoGwPm5c97RKNTA8JCUpcbQy3f30DdLAbOg-UxaUo&dib_tag=se&keywords=Industrial+y+cient%C3%ADfico&qid=1725878033&sr=8-2,ISE STATISTICS FOR ENGINEERS AND SCIENTISTS (ISE HED IRWIN INDUSTRIAL ENGINEERING),1260547884,,Sin información,|,4.3,46,https://m.media-amazon.com/images/I/61gPLmK6tvL._AC_UY218_.jpg,
https://www.amazon.com/-/es/Younggil-Kwon/dp/147578693X/ref=sr_1_3?dib=eyJ2IjoiMSJ9.xj5pqqOfL7bi2QHbz-CbuLXJjbyJxL5SVSlnO1fe0CMU0hffiSvZGGK3WOFVNTgsWfyvCRQJdJtDGk07Sby-_mLbncI__HiFwregTF3LmVnObxwkHReCWREiCW3RAEABo06AlManHgMgaxxT82myOuRIh57K7dQH-YZoB3IBk9hFQQkR_ikOdKs2nn2YjakPbeMEFOy7MMFag5HoeH75N90TcdjFnCHy58jl2lZEHNQ.QvLoGwPm5c97RKNTA8JCUpcbQy3f30DdLAbOg-UxaUo&dib_tag=se&keywords=Industrial+y+cient%C3%ADfico&qid=1725878033&sr=8-3,"Handbook of Essential Pharmacokinetics, Pharmacodynamics and Drug Metabolism for Industrial Scientists",147578693X,118.08,Sin información,|,5.0,3,https://m.media-amazon.com/images/I/51dBqYFVnFL._AC_UY218_.jpg,
https://www.amazon.com/-/es/William-Navidi/dp/0073401331/ref=sr_1_4?dib=eyJ2IjoiMSJ9.xj5pqqOfL7bi2QHbz-CbuLXJjbyJxL5SVSlnO1fe0CMU0hffiSvZGGK3WOFVNTgsWfyvCRQJdJtDGk07Sby-_mLbncI__HiFwregTF3LmVnObxwkHReCWREiCW3RAEABo06AlManHgMgaxxT82myOuRIh57K7dQH-YZoB3IBk9hFQQkR_ikOdKs2nn2YjakPbeMEFOy7MMFag5HoeH75N90TcdjFnCHy58jl2lZEHNQ.QvLoGwPm5c97RKNTA8JCUpcbQy3f30DdLAbOg-UxaUo&dib_tag=se&keywords=Industrial+y+cient%C3%ADfico&qid=1725878033&sr=8-4,Statistics for Engineers and Scientists,0073401331,168.16,Sin información,|,4.3,111,https://m.media-amazon.com/images/I/513nbRlZ9xL._AC_UY218_.jpg,
https://www.amazon.com/-/es/Steve-M-Jex/dp/1118724070/ref=sr_1_5?dib=eyJ2IjoiMSJ9.xj5pqqOfL7bi2QHbz-CbuLXJjbyJxL5SVSlnO1fe0CMU0hffiSvZGGK3WOFVNTgsWfyvCRQJdJtDGk07Sby-_mLbncI__HiFwregTF3LmVnObxwkHReCWREiCW3RAEABo06AlManHgMgaxxT82myOuRIh57K7dQH-YZoB3IBk9hFQQkR_ikOdKs2nn2YjakPbeMEFOy7MMFag5HoeH75N90TcdjFnCHy58jl2lZEHNQ.QvLoGwPm5c97RKNTA8JCUpcbQy3f30DdLAbOg-UxaUo&dib_tag=se&keywords=Industrial+y+cient%C3%ADfico&qid=1725878033&sr=8-5,Organizational Psychology: A Scientist-Practitioner Approach,1118724070,83.64,Sin información,|,4.7,84,https://m.media-amazon.com/images/I/61evROn7AOL._AC_UY218_.jpg,
https://www.amazon.com/-/es/Makhdum-Ahmed-M-D/dp/1633889521/ref=sr_1_6?dib=eyJ2IjoiMSJ9.xj5pqqOfL7bi2QHbz-CbuLXJjbyJxL5SVSlnO1fe0CMU0hffiSvZGGK3WOFVNTgsWfyvCRQJdJtDGk07Sby-_mLbncI__HiFwregTF3LmVnObxwkHReCWREiCW3RAEABo06AlManHgMgaxxT82myOuRIh57K7dQH-YZoB3IBk9hFQQkR_ikOdKs2nn2YjakPbeMEFOy7MMFag5HoeH75N90TcdjFnCHy58jl2lZEHNQ.QvLoGwPm5c97RKNTA8JCUpcbQy3f30DdLAbOg-UxaUo&dib_tag=se&keywords=Industrial+y+cient%C3%ADfico&qid=1725878033&sr=8-6,Race for a Remedy: The Science and Scientists behind the Next Life-Saving Cancer Medicine,1633889521,27.14,Sin información,|,4.6,7,https://m.media-amazon.com/images/I/81YRzEKj+2L._AC_UY218_.jpg,
https://www.amazon.com/-/es/dp/B0815B2X1V/ref=sr_1_7?dib=eyJ2IjoiMSJ9.xj5pqqOfL7bi2QHbz-CbuLXJjbyJxL5SVSlnO1fe0CMU0hffiSvZGGK3WOFVNTgsWfyvCRQJdJtDGk07Sby-_mLbncI__HiFwregTF3LmVnObxwkHReCWREiCW3RAEABo06AlManHgMgaxxT82myOuRIh57K7dQH-YZoB3IBk9hFQQkR_ikOdKs2nn2YjakPbeMEFOy7MMFag5HoeH75N90TcdjFnCHy58jl2lZEHNQ.QvLoGwPm5c97RKNTA8JCUpcbQy3f30DdLAbOg-UxaUo&dib_tag=se&keywords=Industrial+y+cient%C3%ADfico&qid=1725878033&sr=8-7,"The Scientist and the Spy: A True Story of China, the FBI, and Industrial Espionage",B0815B2X1V,0.0,Sin información,PVPR:,4.1,280,https://m.media-amazon.com/images/I/81MOF+sOogL._AC_UY218_.jpg,
https://www.amazon.com/-/es/Biotech-Primer/dp/B08W7JTW8M/ref=sr_1_8?dib=eyJ2IjoiMSJ9.xj5pqqOfL7bi2QHbz-CbuLXJjbyJxL5SVSlnO1fe0CMU0hffiSvZGGK3WOFVNTgsWfyvCRQJdJtDGk07Sby-_mLbncI__HiFwregTF3LmVnObxwkHReCWREiCW3RAEABo06AlManHgMgaxxT82myOuRIh57K7dQH-YZoB3IBk9hFQQkR_ikOdKs2nn2YjakPbeMEFOy7MMFag5HoeH75N90TcdjFnCHy58jl2lZEHNQ.QvLoGwPm5c97RKNTA8JCUpcbQy3f30DdLAbOg-UxaUo&dib_tag=se&keywords=Industrial+y+cient%C3%ADfico&qid=1725878033&sr=8-8,The Biotech Primer One: The Science Driving Biopharma Explained: An Insider's Guide to the Science Driving the Biopharma Industry for the Non-Scientist,B08W7JTW8M,29.95,Sin información,|,4.3,56,https://m.media-amazon.com/images/I/61oA9fcgujL._AC_UY218_.jpg,
https://www.amazon.com/-/es/Christine-L-Williams/dp/0520385284/ref=sr_1_9?dib=eyJ2IjoiMSJ9.xj5pqqOfL7bi2QHbz-CbuLXJjbyJxL5SVSlnO1fe0CMU0hffiSvZGGK3WOFVNTgsWfyvCRQJdJtDGk07Sby-_mLbncI__HiFwregTF3LmVnObxwkHReCWREiCW3RAEABo06AlManHgMgaxxT82myOuRIh57K7dQH-YZoB3IBk9hFQQkR_ikOdKs2nn2YjakPbeMEFOy7MMFag5HoeH75N90TcdjFnCHy58jl2lZEHNQ.QvLoGwPm5c97RKNTA8JCUpcbQy3f30DdLAbOg-UxaUo&dib_tag=se&keywords=Industrial+y+cient%C3%ADfico&qid=1725878033&sr=8-9,Gas-Lighted: How the Oil and Gas Industry Shortchanges Women Scientists,0520385284,27.95,Sin información,|,4.2,9,https://m.media-amazon.com/images/I/81XdZFBOYBL._AC_UY218_.jpg,
https://www.amazon.com/-/es/Steven-Smith/dp/075067444X/ref=sr_1_10?dib=eyJ2IjoiMSJ9.xj5pqqOfL7bi2QHbz-CbuLXJjbyJxL5SVSlnO1fe0CMU0hffiSvZGGK3WOFVNTgsWfyvCRQJdJtDGk07Sby-_mLbncI__HiFwregTF3LmVnObxwkHReCWREiCW3RAEABo06AlManHgMgaxxT82myOuRIh57K7dQH-YZoB3IBk9hFQQkR_ikOdKs2nn2YjakPbeMEFOy7MMFag5HoeH75N90TcdjFnCHy58jl2lZEHNQ.QvLoGwPm5c97RKNTA8JCUpcbQy3f30DdLAbOg-UxaUo&dib_tag=se&keywords=Industrial+y+cient%C3%ADfico&qid=1725878033&sr=8-10,Digital Signal Processing: A Practical Guide for Engineers and Scientists,075067444X,74.98,Sin información,|,4.5,119,https://m.media-amazon.com/images/I/51IiZ1C7vAL._AC_UY218_.jpg,
