link_producto,producto,asin,precio,precio_original,vendidos_mes_pasado,calificación,num_de_calificaciones,imagen,vendidos_numerico
https://www.amazon.com/-/es/Microsoft-Office-Student-Compra-Descargar/dp/B09H7GPR1G/ref=sr_1_1?dib=eyJ2IjoiMSJ9.VLSpTVwScqMPcC-fWfhxrPbMxb7aYO7As8q2aqrsDZUf-sgEelBfXA0kPidc5uqTPqmPKiY7BOK4F0FbAvqj8wM9b7LqMIQTOWw0izYm57RcpLvh5ymI-k-GdHKVGsXP6LcNTdhiuwsnuCG26RbkuZmIoSevpzHj9ajxVleuzBK9zcDgWYZtugA6YZHLtplANLyYPcG3mtlB1r6C1F0WAJdSn-ovz5-VJPH4Tnut2Po.kkchRcrQZmA1iApdqxFF5EtoUG8OKcjSSnoLJua36ZA&dib_tag=se&keywords=Software&qid=1725889819&sr=8-1,Microsoft Office Home & Student 2021 | Compra única para 1 PC o Mac| Descargar,B09H7GPR1G,149.99,Sin información,Sin información,4.1,5996,https://m.media-amazon.com/images/I/610LdTvXyFL._AC_UY218_.jpg,
https://www.amazon.com/-/es/Microsoft-Office-Business-Compra-Descargar/dp/B09H7F77JR/ref=sr_1_2?dib=eyJ2IjoiMSJ9.VLSpTVwScqMPcC-fWfhxrPbMxb7aYO7As8q2aqrsDZUf-sgEelBfXA0kPidc5uqTPqmPKiY7BOK4F0FbAvqj8wM9b7LqMIQTOWw0izYm57RcpLvh5ymI-k-GdHKVGsXP6LcNTdhiuwsnuCG26RbkuZmIoSevpzHj9ajxVleuzBK9zcDgWYZtugA6YZHLtplANLyYPcG3mtlB1r6C1F0WAJdSn-ovz5-VJPH4Tnut2Po.kkchRcrQZmA1iApdqxFF5EtoUG8OKcjSSnoLJua36ZA&dib_tag=se&keywords=Software&qid=1725889819&sr=8-2,Microsoft Office Home & Business 2021 | Compra única para 1 PC o Mac | Descargar,B09H7F77JR,229.99,Sin información,PVPR:,4.2,853,https://m.media-amazon.com/images/I/61hSSVPvT3L._AC_UY218_.jpg,
https://www.amazon.com/-/es/Microsoft-Suscripci%C3%B3n-Aplicaciones-Almacenamiento-activaci%C3%B3n/dp/B07F3TQ6DQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.VLSpTVwScqMPcC-fWfhxrPbMxb7aYO7As8q2aqrsDZUf-sgEelBfXA0kPidc5uqTPqmPKiY7BOK4F0FbAvqj8wM9b7LqMIQTOWw0izYm57RcpLvh5ymI-k-GdHKVGsXP6LcNTdhiuwsnuCG26RbkuZmIoSevpzHj9ajxVleuzBK9zcDgWYZtugA6YZHLtplANLyYPcG3mtlB1r6C1F0WAJdSn-ovz5-VJPH4Tnut2Po.kkchRcrQZmA1iApdqxFF5EtoUG8OKcjSSnoLJua36ZA&dib_tag=se&keywords=Software&qid=1725889819&sr=8-3,"Microsoft 365 Personal | Suscripción de 12 meses, 1 persona| Aplicaciones de oficina premium | Almacenamiento en la nube OneDrive de 1 TB | Descarga de PC/Mac | Se requiere activación",B07F3TQ6DQ,69.99,Sin información,Sin información,4.4,10866,https://m.media-amazon.com/images/I/61pCCojbi-L._AC_UY218_.jpg,
https://www.amazon.com/-/es/dp/B0CLBV27N2/ref=sr_1_4?dib=eyJ2IjoiMSJ9.VLSpTVwScqMPcC-fWfhxrPbMxb7aYO7As8q2aqrsDZUf-sgEelBfXA0kPidc5uqTPqmPKiY7BOK4F0FbAvqj8wM9b7LqMIQTOWw0izYm57RcpLvh5ymI-k-GdHKVGsXP6LcNTdhiuwsnuCG26RbkuZmIoSevpzHj9ajxVleuzBK9zcDgWYZtugA6YZHLtplANLyYPcG3mtlB1r6C1F0WAJdSn-ovz5-VJPH4Tnut2Po.kkchRcrQZmA1iApdqxFF5EtoUG8OKcjSSnoLJua36ZA&dib_tag=se&keywords=Software&qid=1725889819&sr=8-4,"TurboTax Deluxe 2023 Tax Software, Federal & State Tax Return [Amazon Exclusive] [PC/Mac Download]",B0CLBV27N2,69.99,Sin información,Sin información,4.4,14823,https://m.media-amazon.com/images/I/719rCYQpjdL._AC_UY218_.jpg,
https://www.amazon.com/-/es/dp/B07Q4QZGFR/ref=sr_1_5?dib=eyJ2IjoiMSJ9.VLSpTVwScqMPcC-fWfhxrPbMxb7aYO7As8q2aqrsDZUf-sgEelBfXA0kPidc5uqTPqmPKiY7BOK4F0FbAvqj8wM9b7LqMIQTOWw0izYm57RcpLvh5ymI-k-GdHKVGsXP6LcNTdhiuwsnuCG26RbkuZmIoSevpzHj9ajxVleuzBK9zcDgWYZtugA6YZHLtplANLyYPcG3mtlB1r6C1F0WAJdSn-ovz5-VJPH4Tnut2Po.kkchRcrQZmA1iApdqxFF5EtoUG8OKcjSSnoLJua36ZA&dib_tag=se&keywords=Software&qid=1725889819&sr=8-5,"Acrobat Pro | 12-Month Subscription | PDF Software |Convert, Edit, E-Sign, Protect |Activation Required [PC/Mac Online Code]",B07Q4QZGFR,239.88,Sin información,Sin información,4.2,1048,https://m.media-amazon.com/images/I/51XI9kYWK8L._AC_UY218_.jpg,
https://www.amazon.com/-/es/Actualizaci%C3%B3n-Windows-desde-descarga-digital/dp/B09WCTTXQ6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.VLSpTVwScqMPcC-fWfhxrPbMxb7aYO7As8q2aqrsDZUf-sgEelBfXA0kPidc5uqTPqmPKiY7BOK4F0FbAvqj8wM9b7LqMIQTOWw0izYm57RcpLvh5ymI-k-GdHKVGsXP6LcNTdhiuwsnuCG26RbkuZmIoSevpzHj9ajxVleuzBK9zcDgWYZtugA6YZHLtplANLyYPcG3mtlB1r6C1F0WAJdSn-ovz5-VJPH4Tnut2Po.kkchRcrQZmA1iApdqxFF5EtoUG8OKcjSSnoLJua36ZA&dib_tag=se&keywords=Software&qid=1725889819&sr=8-6,"Actualización de Windows 11 Pro, desde Windows 11 Home (descarga digital)",B09WCTTXQ6,99.0,Sin información,Sin información,3.8,511,https://m.media-amazon.com/images/I/61R6ivLSfrL._AC_UY218_.jpg,
https://www.amazon.com/-/es/Norton-360-Deluxe-2021-dispositivos/dp/B07Q33SJDW/ref=sr_1_7?dib=eyJ2IjoiMSJ9.VLSpTVwScqMPcC-fWfhxrPbMxb7aYO7As8q2aqrsDZUf-sgEelBfXA0kPidc5uqTPqmPKiY7BOK4F0FbAvqj8wM9b7LqMIQTOWw0izYm57RcpLvh5ymI-k-GdHKVGsXP6LcNTdhiuwsnuCG26RbkuZmIoSevpzHj9ajxVleuzBK9zcDgWYZtugA6YZHLtplANLyYPcG3mtlB1r6C1F0WAJdSn-ovz5-VJPH4Tnut2Po.kkchRcrQZmA1iApdqxFF5EtoUG8OKcjSSnoLJua36ZA&dib_tag=se&keywords=Software&qid=1725889819&sr=8-7,"Norton 360 Deluxe 2021 - Software antivirus para 5 dispositivos con renovación automática - Incluye VPN, copia de seguridad en la nube de PC y supervisión de web oscura con tecnología LifeLock [Descargar]",B07Q33SJDW,24.99,Sin información,|,4.2,14904,https://m.media-amazon.com/images/I/71XafXsPo6L._AC_UY218_.jpg,
https://www.amazon.com/-/es/dp/B0CJZ3DKTZ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.VLSpTVwScqMPcC-fWfhxrPbMxb7aYO7As8q2aqrsDZUf-sgEelBfXA0kPidc5uqTPqmPKiY7BOK4F0FbAvqj8wM9b7LqMIQTOWw0izYm57RcpLvh5ymI-k-GdHKVGsXP6LcNTdhiuwsnuCG26RbkuZmIoSevpzHj9ajxVleuzBK9zcDgWYZtugA6YZHLtplANLyYPcG3mtlB1r6C1F0WAJdSn-ovz5-VJPH4Tnut2Po.kkchRcrQZmA1iApdqxFF5EtoUG8OKcjSSnoLJua36ZA&dib_tag=se&keywords=Software&qid=1725889819&sr=8-8,Adobe | Photoshop Elements 2024 | Windows PC Code | Software Download | Photo Editing [PC Online code],B0CJZ3DKTZ,81.82,Sin información,PVPR:,3.6,105,https://m.media-amazon.com/images/I/71z+VzYnh7L._AC_UY218_.jpg,
https://www.amazon.com/-/es/antivirus-dispositivos-renovaci%C3%B3n-autom%C3%A1tica-seguridad/dp/B07Q6B5YL5/ref=sr_1_9?dib=eyJ2IjoiMSJ9.VLSpTVwScqMPcC-fWfhxrPbMxb7aYO7As8q2aqrsDZUf-sgEelBfXA0kPidc5uqTPqmPKiY7BOK4F0FbAvqj8wM9b7LqMIQTOWw0izYm57RcpLvh5ymI-k-GdHKVGsXP6LcNTdhiuwsnuCG26RbkuZmIoSevpzHj9ajxVleuzBK9zcDgWYZtugA6YZHLtplANLyYPcG3mtlB1r6C1F0WAJdSn-ovz5-VJPH4Tnut2Po.kkchRcrQZmA1iApdqxFF5EtoUG8OKcjSSnoLJua36ZA&dib_tag=se&keywords=Software&qid=1725889819&sr=8-9,"Norton 360 Premium, 2023 Ready, software antivirus para 10 dispositivos con renovación automática, incluye VPN, copia de seguridad en la nube de PC y monitoreo web oscuro [descarga]",B07Q6B5YL5,29.99,Sin información,PVPR:,4.2,4797,https://m.media-amazon.com/images/I/71q3Z-U+2xL._AC_UY218_.jpg,
https://www.amazon.com/-/es/dp/B0CJCWHXH2/ref=sr_1_10?dib=eyJ2IjoiMSJ9.VLSpTVwScqMPcC-fWfhxrPbMxb7aYO7As8q2aqrsDZUf-sgEelBfXA0kPidc5uqTPqmPKiY7BOK4F0FbAvqj8wM9b7LqMIQTOWw0izYm57RcpLvh5ymI-k-GdHKVGsXP6LcNTdhiuwsnuCG26RbkuZmIoSevpzHj9ajxVleuzBK9zcDgWYZtugA6YZHLtplANLyYPcG3mtlB1r6C1F0WAJdSn-ovz5-VJPH4Tnut2Po.kkchRcrQZmA1iApdqxFF5EtoUG8OKcjSSnoLJua36ZA&dib_tag=se&keywords=Software&qid=1725889819&sr=8-10,H&R Block Tax Software Deluxe + State 2023 with Refund Bonus Offer (Amazon Exclusive) (PC/MAC Download),B0CJCWHXH2,39.97,Sin información,PVPR:,4.1,4116,https://m.media-amazon.com/images/I/51WNth-N57L._AC_UY218_.jpg,
