link_producto,producto,asin,precio,precio_original,vendidos_mes_pasado,calificación,num_de_calificaciones,imagen,vendidos_numerico
https://www.amazon.com/-/es/sspa/click?ie=UTF8&spc=MTo4Nzc3OTU0MDA3NzMwNzg4OjE3MjU4NzgzMzY6c3BfYXRmOjMwMDIxMTcwMzc1NzIwMjo6MDo6&url=%2FJulio-von-Vacano%2Fdp%2FB0D4B1B2HD%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.4cQ60iCeQi-JQK5_SlQCXeWcW6rGl29kWhZGOIgM5YLISy6XkoiNQFzGHjOqKB-InjMzf41jHW5Ijrxnl_QU_vxibiEaFGAw0ovFqorhpqWZHY4gHGGjV4tOHbP-66qlItcYd-mysH3tunngTcZ8fVvbp0b-Rz2lebNLC8PaFrBSqvugOgvN2Zk6kjyd32dFzWG4Pui5hv0aZV_Q1NUrNdQybLwWR6zryV1RfGhwZXFoeLgKUm6lgsfXuu6YNOAfgAJWYpWf9UdkzEtnyS8K_E_6BqD2M3jBUG_wLVCxo_g.hoDbo2MJBiGKDXMZIw48OFEUuEHFX7nKzdKqOt2M59I%26dib_tag%3Dse%26keywords%3DLibros%26qid%3D1725878336%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,El Miedo: Experiencias Terapéuticas Reales (Spanish Edition),B0D4B1B2HD,7.99,Sin información,Edición en Español,4.8,53,https://m.media-amazon.com/images/I/611S-f6dgVL._AC_UL320_.jpg,
https://www.amazon.com/-/es/sspa/click?ie=UTF8&spc=MTo4Nzc3OTU0MDA3NzMwNzg4OjE3MjU4NzgzMzY6c3BfYXRmOjMwMDE1MDQyNTUzMTIwMjo6MDo6&url=%2FFabi%25C3%25A1n-Goleman%2Fdp%2FB0BGFHKJP6%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.4cQ60iCeQi-JQK5_SlQCXeWcW6rGl29kWhZGOIgM5YLISy6XkoiNQFzGHjOqKB-InjMzf41jHW5Ijrxnl_QU_vxibiEaFGAw0ovFqorhpqWZHY4gHGGjV4tOHbP-66qlItcYd-mysH3tunngTcZ8fVvbp0b-Rz2lebNLC8PaFrBSqvugOgvN2Zk6kjyd32dFzWG4Pui5hv0aZV_Q1NUrNdQybLwWR6zryV1RfGhwZXFoeLgKUm6lgsfXuu6YNOAfgAJWYpWf9UdkzEtnyS8K_E_6BqD2M3jBUG_wLVCxo_g.hoDbo2MJBiGKDXMZIw48OFEUuEHFX7nKzdKqOt2M59I%26dib_tag%3Dse%26keywords%3DLibros%26qid%3D1725878336%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Inteligencia Emocional: 4 Libros en 1: La Guía Completa Para Aprender Autodisciplina, Inteligencia Emocional, Psicología Oscura y Manipulación. Domina ... Las Creencias Negativas. (Spanish Edition)",B0BGFHKJP6,27.18,Sin información,Edición en Español,4.8,1093,https://m.media-amazon.com/images/I/61dQGDw1-aL._AC_UL320_.jpg,
https://www.amazon.com/-/es/sspa/click?ie=UTF8&spc=MTo4Nzc3OTU0MDA3NzMwNzg4OjE3MjU4NzgzMzY6c3BfYXRmOjMwMDI3Nzc2NDEyNzMwMjo6MDo6&url=%2FJames-Clear%2Fdp%2F6075694129%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.4cQ60iCeQi-JQK5_SlQCXeWcW6rGl29kWhZGOIgM5YLISy6XkoiNQFzGHjOqKB-InjMzf41jHW5Ijrxnl_QU_vxibiEaFGAw0ovFqorhpqWZHY4gHGGjV4tOHbP-66qlItcYd-mysH3tunngTcZ8fVvbp0b-Rz2lebNLC8PaFrBSqvugOgvN2Zk6kjyd32dFzWG4Pui5hv0aZV_Q1NUrNdQybLwWR6zryV1RfGhwZXFoeLgKUm6lgsfXuu6YNOAfgAJWYpWf9UdkzEtnyS8K_E_6BqD2M3jBUG_wLVCxo_g.hoDbo2MJBiGKDXMZIw48OFEUuEHFX7nKzdKqOt2M59I%26dib_tag%3Dse%26keywords%3DLibros%26qid%3D1725878336%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Hábitos atómicos: Cambios pequeños, resultados extraordinarios / Atomic Habits (Spanish Edition)",6075694129,12.71,Sin información,Edición en Español,4.8,17005,https://m.media-amazon.com/images/I/713PN1USzXL._AC_UL320_.jpg,
https://www.amazon.com/-/es/Brian-Tracy/dp/1644730480/ref=sr_1_4?dib=eyJ2IjoiMSJ9.4cQ60iCeQi-JQK5_SlQCXeWcW6rGl29kWhZGOIgM5YLISy6XkoiNQFzGHjOqKB-InjMzf41jHW5Ijrxnl_QU_vxibiEaFGAw0ovFqorhpqWZHY4gHGGjV4tOHbP-66qlItcYd-mysH3tunngTcZ8fVvbp0b-Rz2lebNLC8PaFrBSqvugOgvN2Zk6kjyd32dFzWG4Pui5hv0aZV_Q1NUrNdQybLwWR6zryV1RfGhwZXFoeLgKUm6lgsfXuu6YNOAfgAJWYpWf9UdkzEtnyS8K_E_6BqD2M3jBUG_wLVCxo_g.hoDbo2MJBiGKDXMZIw48OFEUuEHFX7nKzdKqOt2M59I&dib_tag=se&keywords=Libros&qid=1725878336&sr=8-4,"Si lo crees, lo creas: Elimina tus dudas, cambia tus creencias y suelta el pasado para alcanzar todo tu potencial / Believe It to Achieve It (Spanish Edition)",1644730480,13.89,Sin información,Edición en Español,4.8,2980,https://m.media-amazon.com/images/I/71XY+4bezAL._AC_UL320_.jpg,
https://www.amazon.com/-/es/dp/B08JWXX27C/ref=sr_1_5?dib=eyJ2IjoiMSJ9.4cQ60iCeQi-JQK5_SlQCXeWcW6rGl29kWhZGOIgM5YLISy6XkoiNQFzGHjOqKB-InjMzf41jHW5Ijrxnl_QU_vxibiEaFGAw0ovFqorhpqWZHY4gHGGjV4tOHbP-66qlItcYd-mysH3tunngTcZ8fVvbp0b-Rz2lebNLC8PaFrBSqvugOgvN2Zk6kjyd32dFzWG4Pui5hv0aZV_Q1NUrNdQybLwWR6zryV1RfGhwZXFoeLgKUm6lgsfXuu6YNOAfgAJWYpWf9UdkzEtnyS8K_E_6BqD2M3jBUG_wLVCxo_g.hoDbo2MJBiGKDXMZIw48OFEUuEHFX7nKzdKqOt2M59I&dib_tag=se&keywords=Libros&qid=1725878336&sr=8-5,Hábitos atómicos (Español neutro): Un método sencillo y comprobado para desarrollar buenos hábitos y eliminar los malos,B08JWXX27C,0.0,Sin información,Otros formatos:,4.8,17005,https://m.media-amazon.com/images/I/81d6AzOKMPL._AC_UL320_.jpg,
https://www.amazon.com/-/es/Billy-Graham/dp/0881137863/ref=sr_1_6?dib=eyJ2IjoiMSJ9.4cQ60iCeQi-JQK5_SlQCXeWcW6rGl29kWhZGOIgM5YLISy6XkoiNQFzGHjOqKB-InjMzf41jHW5Ijrxnl_QU_vxibiEaFGAw0ovFqorhpqWZHY4gHGGjV4tOHbP-66qlItcYd-mysH3tunngTcZ8fVvbp0b-Rz2lebNLC8PaFrBSqvugOgvN2Zk6kjyd32dFzWG4Pui5hv0aZV_Q1NUrNdQybLwWR6zryV1RfGhwZXFoeLgKUm6lgsfXuu6YNOAfgAJWYpWf9UdkzEtnyS8K_E_6BqD2M3jBUG_wLVCxo_g.hoDbo2MJBiGKDXMZIw48OFEUuEHFX7nKzdKqOt2M59I&dib_tag=se&keywords=Libros&qid=1725878336&sr=8-6,El secreto de la paz personal (Spanish Edition),0881137863,2.99,Sin información,Edición en Español,4.6,6290,https://m.media-amazon.com/images/I/71zbsJhui6L._AC_UL320_.jpg,
https://www.amazon.com/-/es/Kelbin-Torres/dp/9974878063/ref=sr_1_7?dib=eyJ2IjoiMSJ9.4cQ60iCeQi-JQK5_SlQCXeWcW6rGl29kWhZGOIgM5YLISy6XkoiNQFzGHjOqKB-InjMzf41jHW5Ijrxnl_QU_vxibiEaFGAw0ovFqorhpqWZHY4gHGGjV4tOHbP-66qlItcYd-mysH3tunngTcZ8fVvbp0b-Rz2lebNLC8PaFrBSqvugOgvN2Zk6kjyd32dFzWG4Pui5hv0aZV_Q1NUrNdQybLwWR6zryV1RfGhwZXFoeLgKUm6lgsfXuu6YNOAfgAJWYpWf9UdkzEtnyS8K_E_6BqD2M3jBUG_wLVCxo_g.hoDbo2MJBiGKDXMZIw48OFEUuEHFX7nKzdKqOt2M59I&dib_tag=se&keywords=Libros&qid=1725878336&sr=8-7,Valentía (Spanish Edition),9974878063,14.39,Sin información,Edición en Español,4.8,1226,https://m.media-amazon.com/images/I/61Fl7PKGFaL._AC_UL320_.jpg,
https://www.amazon.com/-/es/Las-Meditaciones-Marco-Aurelio-Filosof%C3%ADa/dp/B0BSJ9J78Y/ref=sr_1_8?dib=eyJ2IjoiMSJ9.4cQ60iCeQi-JQK5_SlQCXeWcW6rGl29kWhZGOIgM5YLISy6XkoiNQFzGHjOqKB-InjMzf41jHW5Ijrxnl_QU_vxibiEaFGAw0ovFqorhpqWZHY4gHGGjV4tOHbP-66qlItcYd-mysH3tunngTcZ8fVvbp0b-Rz2lebNLC8PaFrBSqvugOgvN2Zk6kjyd32dFzWG4Pui5hv0aZV_Q1NUrNdQybLwWR6zryV1RfGhwZXFoeLgKUm6lgsfXuu6YNOAfgAJWYpWf9UdkzEtnyS8K_E_6BqD2M3jBUG_wLVCxo_g.hoDbo2MJBiGKDXMZIw48OFEUuEHFX7nKzdKqOt2M59I&dib_tag=se&keywords=Libros&qid=1725878336&sr=8-8,Las Meditaciones de Marco Aurelio: Filosofía Romana (Spanish Edition),B0BSJ9J78Y,7.28,Sin información,Edición en Español,4.5,850,https://m.media-amazon.com/images/I/61iMxtIaXqL._AC_UL320_.jpg,
https://www.amazon.com/-/es/Don-Miguel-Ruiz/dp/187842436X/ref=sr_1_9?dib=eyJ2IjoiMSJ9.4cQ60iCeQi-JQK5_SlQCXeWcW6rGl29kWhZGOIgM5YLISy6XkoiNQFzGHjOqKB-InjMzf41jHW5Ijrxnl_QU_vxibiEaFGAw0ovFqorhpqWZHY4gHGGjV4tOHbP-66qlItcYd-mysH3tunngTcZ8fVvbp0b-Rz2lebNLC8PaFrBSqvugOgvN2Zk6kjyd32dFzWG4Pui5hv0aZV_Q1NUrNdQybLwWR6zryV1RfGhwZXFoeLgKUm6lgsfXuu6YNOAfgAJWYpWf9UdkzEtnyS8K_E_6BqD2M3jBUG_wLVCxo_g.hoDbo2MJBiGKDXMZIw48OFEUuEHFX7nKzdKqOt2M59I&dib_tag=se&keywords=Libros&qid=1725878336&sr=8-9,Los cuatro acuerdos: una guia practica para la libertad personal (Spanish Edition),187842436X,8.98,Sin información,PVPR:,4.8,15261,https://m.media-amazon.com/images/I/91wBiO9otlL._AC_UL320_.jpg,
https://www.amazon.com/-/es/Gary-Chapman/dp/0789923742/ref=sr_1_10?dib=eyJ2IjoiMSJ9.4cQ60iCeQi-JQK5_SlQCXeWcW6rGl29kWhZGOIgM5YLISy6XkoiNQFzGHjOqKB-InjMzf41jHW5Ijrxnl_QU_vxibiEaFGAw0ovFqorhpqWZHY4gHGGjV4tOHbP-66qlItcYd-mysH3tunngTcZ8fVvbp0b-Rz2lebNLC8PaFrBSqvugOgvN2Zk6kjyd32dFzWG4Pui5hv0aZV_Q1NUrNdQybLwWR6zryV1RfGhwZXFoeLgKUm6lgsfXuu6YNOAfgAJWYpWf9UdkzEtnyS8K_E_6BqD2M3jBUG_wLVCxo_g.hoDbo2MJBiGKDXMZIw48OFEUuEHFX7nKzdKqOt2M59I&dib_tag=se&keywords=Libros&qid=1725878336&sr=8-10,Los 5 lenguajes del amor (Revisado) - Serie Favoritos: El secreto del amor que perdura (Favoritos / Favorites) (Spanish Edition),0789923742,4.49,Sin información,Edición en Español,4.8,11521,https://m.media-amazon.com/images/I/81Et9SnxUjL._AC_UL320_.jpg,
